	character	quote	image_path_local
27	Obi-Wan	That was some shortcut, Anakin.	/home/oks110/PM_bot/static/2/shortcut.png
28	Obi-Wan	He went completely the other way!	/home/oks110/PM_bot/static/2/other way.png
29	Anakin	If you'll excuse me-	/home/oks110/PM_bot/static/2/if excuse.png
30	Obi-Wan	I hate it when he does that.	/home/oks110/PM_bot/static/2/hate it.png
31	Obi-Wan	Why do I get the feeling you're going to be the death of me?	/home/oks110/PM_bot/static/2/death of me.png
32	Obi-Wan	For a drink.	/home/oks110/PM_bot/static/2/drink.png
33	Elan Sleazebaggano	You wanna buy some death sticks?	/home/oks110/PM_bot/static/2/deathsticks.png
34	Obi-Wan	You want to go home and rethink your life.	/home/oks110/PM_bot/static/2/you rethink.png
35	Elan Sleazebaggano	I want to go home and rethink my life.	/home/oks110/PM_bot/static/2/I rethink.png
36	Anakin	Easy. Jedi business. Go back to your drinks.	/home/oks110/PM_bot/static/2/j busy.png
37	Padme	Please don't look at me like that.	/home/oks110/PM_bot/static/2/dont look.png
38	Dexter Jettster	Well, whattaya know!	/home/oks110/PM_bot/static/2/whattaya.png
39	Jocasta Nu	I hate to say it, but it looks like the system you're searching for doesn't exist.	/home/oks110/PM_bot/static/2/exist.png
40	Obi-Wan	Impossible. Perhaps the archives are incomplete.	/home/oks110/PM_bot/static/2/archives.png
41	Yoda	Truly wonderful the mind of a child is.	/home/oks110/PM_bot/static/2/mind of child.png
42	Obi-Wan	[Visible confusion]	/home/oks110/PM_bot/static/2/confus.png
43	Obi-Wan	That's… good news.	/home/oks110/PM_bot/static/2/g news.png
44	Obi-Wan	That's… why I'm here.	/home/oks110/PM_bot/static/2/here.png
45	Anakin	I don't like sand.	/home/oks110/PM_bot/static/2/sand1.png
46	Anakin	I don't like sand. It's coarse and rough and irritating, and it gets everywhere. 	/home/oks110/PM_bot/static/2/sand2.png
47	Lama Su	200000 units are ready, with a million more well on the way.	/home/oks110/PM_bot/static/2/200000.png
48	Lama Su	Magnificent, aren't they?	/home/oks110/PM_bot/static/2/magnificent.png
49	Anakin	I don't think the system works.	/home/oks110/PM_bot/static/2/system.png
50	Anakin	Right?	/home/oks110/PM_bot/static/2/right.png
51	Padme	Right?	/home/oks110/PM_bot/static/2/right.png
52	Boba Fett	Yep.	/home/oks110/PM_bot/static/2/yep.png
53	Obi-Wan	Your clones are very impressive. You must be very proud.	/home/oks110/PM_bot/static/2/clones.png
54	Jango Fett	I'm just a simple man, trying to make my way in the universe.	/home/oks110/PM_bot/static/2/simple man.png
55	Jango Fett	Possibly.	/home/oks110/PM_bot/static/2/possibly j.png
56	Jango Fett	Pack your things. We're leaving.	/home/oks110/PM_bot/static/2/pack.png
57	Anakin	I'm in agony.	/home/oks110/PM_bot/static/2/agony.png
58	Anakin	I can't breathe.	/home/oks110/PM_bot/static/2/breathe.png
59	Anakin	I'm haunted by the kiss you should never have given me.	/home/oks110/PM_bot/static/2/haunted.png
60	Anakin	It's all Obi-Wan's fault!	/home/oks110/PM_bot/static/2/fault.png
61	Anakin	And not just the men, but the women and the children too.	/home/oks110/PM_bot/static/2/not just men.png
62	Anakin	They're like animals, and I slaughtered them like animals!	/home/oks110/PM_bot/static/2/animals.png
63	Anakin	I hate them!	/home/oks110/PM_bot/static/2/hate them.png
64	Palpatine	I love democracy.	/home/oks110/PM_bot/static/2/democ.png
65	Anakin	Not again.	/home/oks110/PM_bot/static/2/not again.png
66	Anakin	Obi-Wan's gonna kill me.	/home/oks110/PM_bot/static/2/obi kill.png
67	Obi-Wan	I was beginning to wonder if you had gotten my message.	/home/oks110/PM_bot/static/2/message.png
68	Obi-Wan	Good job.	/home/oks110/PM_bot/static/2/good job.png
69	Nute Gunray	She can't do that! Shoot her or something!	/home/oks110/PM_bot/static/2/shoot.png
70	Mace Windu	This party's over.	/home/oks110/PM_bot/static/2/party.png
71	Count Dooku	Brave, but foolish, my old Jedi friend.	/home/oks110/PM_bot/static/2/brave.png
72	Anakin	You call this a diplomatic solution?	/home/oks110/PM_bot/static/2/agg.png
73	Padme	No, I call it aggressive negotiations.	/home/oks110/PM_bot/static/2/agg.png
74	Yoda	Begun the Clone War has.	/home/oks110/PM_bot/static/2/clone war.png
75	Obi-Wan	Oh, this is going to be easy.	/home/oks110/PM_bot/static/3/easy.png
76	Anakin	This is where the fun begins.	/home/oks110/PM_bot/static/3/fun.png
77	Obi-Wan	No, no, no, no. No, nothing too fancy.	/home/oks110/PM_bot/static/3/fancy.png
78	Obi-Wan	Flying is for droids.	/home/oks110/PM_bot/static/3/flying.png
79	Obi-Wan	Oh dear.	/home/oks110/PM_bot/static/3/dear.png
80	Obi-Wan	I'm running out of tricks here.	/home/oks110/PM_bot/static/3/tricks.png
81	Obi-Wan	Hold on, Anakin. You're going to get us both killed.	/home/oks110/PM_bot/static/3/both.png
82	Obi-Wan	I have a bad feeling about this.	/home/oks110/PM_bot/static/3/bad feeling rots.png
83	Obi-Wan	Well, have you noticed the shields are still up?	/home/oks110/PM_bot/static/3/shields up.png
84	Obi-Wan	Did you press the stop button?	/home/oks110/PM_bot/static/3/stop button.png
85	Anakin	No, did you?	/home/oks110/PM_bot/static/3/stop button.png
86	Obi-Wan	No.	/home/oks110/PM_bot/static/3/stop button.png
87	Obi-Wan	Always on the move.	/home/oks110/PM_bot/static/3/move.png
88	Obi-Wan	R2, we need to be going up, not down.	/home/oks110/PM_bot/static/3/not down.png
89	Obi-Wan	Chancellor Palpatine, Sith Lords are our specialty.	/home/oks110/PM_bot/static/3/speciality.png
90	Count Dooku	I've been looking forward to this.	/home/oks110/PM_bot/static/3/forward.png
91	Anakin	My powers have doubled since the last time we met, Count.	/home/oks110/PM_bot/static/3/doubled.png
92	Count Dooku	Good. Twice the pride, double the fall.	/home/oks110/PM_bot/static/3/twice.png
93	Palpatine	Do it.	/home/oks110/PM_bot/static/3/do it.png
94	Palpatine	Kill him. Kill him now.	/home/oks110/PM_bot/static/3/kill now.png
95	Anakin	 I shouldn't have done that. It's not the Jedi way.	/home/oks110/PM_bot/static/3/j way.png
96	Palpatine	It is only natural.	/home/oks110/PM_bot/static/3/nat.png
97	Obi-Wan	Wait a minute, how did this happen? We're smarter than this.	/home/oks110/PM_bot/static/3/smarter.png
98	General Grievous	Ah, yes. The negotiator.	/home/oks110/PM_bot/static/3/neg.png
99	General Grievous	I was expecting someone with your reputation to be a little older.	/home/oks110/PM_bot/static/3/older.png
100	Anakin	You're shorter than I expected.	/home/oks110/PM_bot/static/3/shorter.png
101	General Grievous	Jedi scum.	/home/oks110/PM_bot/static/3/scum.png
102	General Grievous	Your lightsabers will make a fine addition to my collection.	/home/oks110/PM_bot/static/3/collect.png
103	General Grievous	Time to abandon ship.	/home/oks110/PM_bot/static/3/abandon.png
104	Obi-Wan	Not to worry, we're still flying half the ship.	/home/oks110/PM_bot/static/3/half.png
105	Anakin	We lost something.	/home/oks110/PM_bot/static/3/lost sth.png
106	Obi-Wan	Another happy landing.	/home/oks110/PM_bot/static/3/landing.png
107	Obi-Wan	Oh no. I'm not brave enough for politics.	/home/oks110/PM_bot/static/3/polit.png
108	Anakin	Hold on, this whole operation was your idea. 	/home/oks110/PM_bot/static/3/hold.png
109	Padme	Something wonderful has happened.	/home/oks110/PM_bot/static/3/sth wndf.png
110	Anakin	That's . . . that's wonderful.	/home/oks110/PM_bot/static/3/wndf.png
111	Mace Windu	You are on this Council. But we do not grant you the rank of Master.	/home/oks110/PM_bot/static/3/rank.png
112	Mace Windu	You are on this Council. But we do not grant you the rank of Master.	/home/oks110/PM_bot/static/3/rank2.png
113	Anakin	This is outrageous, it's unfair.	/home/oks110/PM_bot/static/3/unfair.png
114	Anakin	How can you be on the Council and not be a Master?	/home/oks110/PM_bot/static/3/how.png
115	Mace Windu	Take a seat, young Skywalker.	/home/oks110/PM_bot/static/3/seat.png
116	Ki-Adi-Mundi	What about the droid attack on the Wookiees?	/home/oks110/PM_bot/static/3/wookiees.png
117	Obi-Wan	It's a system we cannot afford to lose. 	/home/oks110/PM_bot/static/3/system.png
118	Mace Windu	 It is critical we send an attack group there immediately.	/home/oks110/PM_bot/static/3/crit.png
119	Mace Windu	It's settled then.	/home/oks110/PM_bot/static/3/settled.png
120	Obi-Wan	This assignment is not to be on record.	/home/oks110/PM_bot/static/3/rec.png
121	Anakin	You're asking me to do something against the Jedi Code. 	/home/oks110/PM_bot/static/3/j code.png
122	Palpatine	Did you ever hear the tragedy of Darth Plagueis the wise?	/home/oks110/PM_bot/static/3/tragedy.png
123	Palpatine	It's not a story the Jedi would tell you. 	/home/oks110/PM_bot/static/3/story.png
124	Palpatine	The dark side of the Force is a pathway to many abilities some consider to be unnatural.	/home/oks110/PM_bot/static/3/pathway.png
125	Palpatine	Ironic.	/home/oks110/PM_bot/static/3/ironic.png
126	Palpatine	Ironic, he could save others from death, but not himself.	/home/oks110/PM_bot/static/3/ironic2.png
127	Anakin	Is it possible to learn this power?	/home/oks110/PM_bot/static/3/learn power.png
128	Palpatine	Not from a jedi.	/home/oks110/PM_bot/static/3/not.png
129	Anakin	I've just been so frustrated with the Council.	/home/oks110/PM_bot/static/3/frust.png
130	Obi-Wan	You are strong and wise, Anakin, and I am very proud of you. 	/home/oks110/PM_bot/static/3/proud.png
131	Obi-Wan	Goodbye, old friend. May the Force be with you.	/home/oks110/PM_bot/static/3/goodbye.png
132	Obi-Wan	Hello there.	/home/oks110/PM_bot/static/3/HT.png
133	General Grievous	General Kenobi.	/home/oks110/PM_bot/static/3/GK.png
134	Obi-Wan	Hello there.	/home/oks110/PM_bot/static/3/HTGK.png
135	General Grievous	General Kenobi.	/home/oks110/PM_bot/static/3/HTGK.png
136	Obi-Wan	Hello there.	/home/oks110/PM_bot/static/3/HTGK2.png
137	General Grievous	General Kenobi.	/home/oks110/PM_bot/static/3/HTGK2.png
138	General Grievous	You are a bold one.	/home/oks110/PM_bot/static/3/bold.png
139	Obi-Wan	Your move.	/home/oks110/PM_bot/static/3/your move.png
140	General Grievous	you must realize you are doomed.	/home/oks110/PM_bot/static/3/doomed.png
141	Obi-Wan	Oh, I don't think so.	/home/oks110/PM_bot/static/3/think.png
142	General Grievous	you must realize you are doomed.	/home/oks110/PM_bot/static/3/think2.png
143	Obi-Wan	Oh, I don't think so.	/home/oks110/PM_bot/static/3/think2.png
144	Palpatine	Use my knowledge, I beg you.	/home/oks110/PM_bot/static/3/beg.png
145	Palpatine	Are you going to kill me?	/home/oks110/PM_bot/static/3/kill me.png
146	Anakin	I would certainly like to.	/home/oks110/PM_bot/static/3/kill me.png
147	Obi-Wan	So uncivilized.	/home/oks110/PM_bot/static/3/unciv.png
148	Anakin	I think Chancellor Palpatine is a Sith Lord.	/home/oks110/PM_bot/static/3/SL.png
149	Mace Windu	Then our worst fears have been realized.	/home/oks110/PM_bot/static/3/fears.png
150	Mace Windu	 If what you told me is true, you will have gained my trust.	/home/oks110/PM_bot/static/3/gain.png
151	Palpatine	 I must say, you're here sooner than expected.	/home/oks110/PM_bot/static/3/here sooner.png
152	Mace Windu	In the name of the Galactic Senate of the Republic, you are under arrest, Chancellor.	/home/oks110/PM_bot/static/3/under arrest.png
153	Palpatine	Are you threatening me, Master Jedi?	/home/oks110/PM_bot/static/3/threaten.png
154	Mace Windu	The Senate will decide your fate.	/home/oks110/PM_bot/static/3/sen dec.png
155	Palpatine	I am the Senate!	/home/oks110/PM_bot/static/3/amsen.png
156	Mace Windu	Not. Yet.	/home/oks110/PM_bot/static/3/notyet.png
157	Palpatine	It's treason then.	/home/oks110/PM_bot/static/3/treason.png
158	Palpatine	The Jedi are taking over.	/home/oks110/PM_bot/static/3/take over.png
159	Palpatine	No.	/home/oks110/PM_bot/static/3/no_p.png
160	Palpatine	You must choose!	/home/oks110/PM_bot/static/3/choose.png
161	Mace Windu	He is too dangerous to be left alive.	/home/oks110/PM_bot/static/3/left al.png
162	Mace Windu	He is too dangerous to be kept alive.	/home/oks110/PM_bot/static/3/kept al.png
163	Palpatine	I am too weak.	/home/oks110/PM_bot/static/3/weak.png
164	Anakin	It's not the Jedi way!	/home/oks110/PM_bot/static/3/not j way.png
165	Anakin	I need him!	/home/oks110/PM_bot/static/3/need.png
166	Palpatine	Unlimited power!	/home/oks110/PM_bot/static/3/unlim.png
167	Anakin	What have I done?	/home/oks110/PM_bot/static/3/done.png
168	Palpatine	Good.	/home/oks110/PM_bot/static/3/good_p.png
169	Darth Sidious	Execute order 66.	/home/oks110/PM_bot/static/3/66.png
170	Youngling	Master Skywalker, there are too many of them. What are we going to do?	/home/oks110/PM_bot/static/3/many.png
171	Youngling	Master Skywalker, there are too many of them. What are we going to do?	/home/oks110/PM_bot/static/3/many2.png
172	Obi-Wan	Who? Who could have done this?	/home/oks110/PM_bot/static/3/who.png
173	Palpatine	The attempt on my life has left me scarred and deformed.	/home/oks110/PM_bot/static/3/attempt.png
174	Palpatine	In order to ensure the security and continuing stability, the Republic will be reorganized into the first Galactic Empire, for a safe and secure society	/home/oks110/PM_bot/static/3/emp.png
175	Padme	So this is how liberty dies, with thunderous applause.	/home/oks110/PM_bot/static/3/liberty.png
176	Obi-Wan	I can't watch any more.	/home/oks110/PM_bot/static/3/watch.png
177	Obi-Wan	I have seen a security hologram of him... killing younglings. [starts beatboxing]	/home/oks110/PM_bot/static/3/beatbox.png
178	Obi-Wan	Anakin is the father, isn't he?	/home/oks110/PM_bot/static/3/father.png
179	Obi-Wan	I'm so sorry.	/home/oks110/PM_bot/static/3/sosorry.png
180	Padme	Obi-Wan told me terrible things. He said you have turned to the dark side...that you killed younglings.	/home/oks110/PM_bot/static/3/ter things.png
181	Anakin	Because of Obi-Wan?	/home/oks110/PM_bot/static/3/because.png
182	Anakin	Liar!	/home/oks110/PM_bot/static/3/liar.png
183	Anakin	You brought him here to kill me!	/home/oks110/PM_bot/static/3/brought.png
184	Anakin	You turned her against me!	/home/oks110/PM_bot/static/3/turned.png
185	Obi-Wan	You have done that yourself.	/home/oks110/PM_bot/static/3/yourself.png
186	Anakin	You will not take her from me!	/home/oks110/PM_bot/static/3/from me.png
187	Obi-Wan	Your anger and your lust for power have already done that.	/home/oks110/PM_bot/static/3/lust.png
188	Obi-Wan	You have become the very thing you swore to destroy.	/home/oks110/PM_bot/static/3/become.png
189	Anakin	Don't lecture me, Obi-Wan.	/home/oks110/PM_bot/static/3/lecture.png
190	Anakin	I see through the lies of the Jedi.	/home/oks110/PM_bot/static/3/lies.png
191	Anakin	I have brought peace, justice, freedom, and security to my new Empire.	/home/oks110/PM_bot/static/3/peace.png
192	Anakin	I have brought peace, justice, freedom, and security to my new Empire.	/home/oks110/PM_bot/static/3/peace2.png
193	Obi-Wan	Your new Empire?	/home/oks110/PM_bot/static/3/peace2.png
194	Anakin	Don't make me kill you.	/home/oks110/PM_bot/static/3/kill u.png
195	Obi-Wan	Anakin, my allegiance is to the Republic, to democracy!	/home/oks110/PM_bot/static/3/democracy.png
196	Anakin	If you're not with me, you're my enemy.	/home/oks110/PM_bot/static/3/enemy.png
197	Obi-Wan	Only a Sith Lord deals in absolutes.	/home/oks110/PM_bot/static/3/abs.png
198	Obi-Wan	I will do what I must.	/home/oks110/PM_bot/static/3/must.png
199	Anakin	You will try.	/home/oks110/PM_bot/static/3/try.png
200	Darth Sidious	Now you will experience the full power of the dark side.	/home/oks110/PM_bot/static/3/exp.png
201	Darth Sidious	I have waited a long time for this moment, my little green friend. 	/home/oks110/PM_bot/static/3/green.png
202	Yoda	Not if anything to say about it, I have.	/home/oks110/PM_bot/static/3/say.png
203	Yoda	At an end your rule is and not short enough it was, I must say.	/home/oks110/PM_bot/static/3/rule.png
204	Yoda	If so powerful you are, why leave?	/home/oks110/PM_bot/static/3/leave.png
205	Yoda	Into exile I must go.	/home/oks110/PM_bot/static/3/exile.png
206	Yoda	Into exile I must go. Failed, I have.	/home/oks110/PM_bot/static/3/exile2.png
207	Obi-Wan	I have failed you.	/home/oks110/PM_bot/static/3/fail.png
208	Anakin	I should have known the Jedi were plotting to take over.	/home/oks110/PM_bot/static/3/have known.png
209	Anakin	From my point of view, the Jedi are evil.	/home/oks110/PM_bot/static/3/evil.png
210	Obi-Wan	Well, then you are lost!	/home/oks110/PM_bot/static/3/lost.png
211	Anakin	This is the end for you, My Master. 	/home/oks110/PM_bot/static/3/end.png
212	Obi-Wan	It's over, Anakin. I have the high ground.	/home/oks110/PM_bot/static/3/HG.png
213	Anakin	You underestimate my power!	/home/oks110/PM_bot/static/3/undr.png
214	Obi-Wan	Don't try it.	/home/oks110/PM_bot/static/3/tryo.png
215	Obi-Wan	You were the Chosen One! 	/home/oks110/PM_bot/static/3/chosen.png
216	Obi-Wan	You were the Chosen One! It was said that you would, destroy the Sith, not join them. 	/home/oks110/PM_bot/static/3/chosen2.png
217	Anakin	I hate you!	/home/oks110/PM_bot/static/3/hate.png
218	Obi-Wan	You were my brother, Anakin. I loved you.	/home/oks110/PM_bot/static/3/loved.png
219	Darth Vader	Where is Padme? Is she safe, is she all right?	/home/oks110/PM_bot/static/3/alright.png
220	Darth Sidious	It seems in your anger, you killed her.	/home/oks110/PM_bot/static/3/anger.png
221	Darth Vader	 I... I couldn't have…She was alive! I felt it!	/home/oks110/PM_bot/static/3/felt.png
222	Darth Vader	No!	/home/oks110/PM_bot/static/3/no_vader.png
